소블록명,연도,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
BH-1,2022,수용가수,"1,543","1,545","1,544","1,544","1,545","1,545","1,547","1,545","1,545","1,546","1,550","1,549"
BH-1,2022,일평균공급량,"1,438.70","1,378.80","1,412.90","1,508.90","1,409.00","1,498.80","1,468.00","1,476.50","1,316.50","1,244.70","1,311.10","1,357.50"
BH-1,2022,유수율,73.20%,75.50%,72.10%,70.40%,77.80%,76.40%,84.80%,79.10%,91.20%,90.40%,84.40%,79.40%
BH-1,2023,수용가수,"1,552","1,552","1,554","1,553","1,556","1,553","1,554","1,554","1,553","1,554","1,552","1,552"
BH-1,2023,일평균공급량,"1,418.70","1,345.90","1,373.50","1,393.20","1,454.70","1,446.60","1,399.20","1,291.20","1,345.40","1,345.00","1,345.00","1,286.80"
BH-1,2023,유수율,77.00%,79.70%,74.80%,78.90%,77.50%,80.70%,85.40%,91.30%,86.60%,86.90%,84.40%,85.00%
BH-1,2024,수용가수,"1,555","1,555","1,555","1,557","1,557","1,559","1,559","1,560","1,560","1,561","1,560","1,563"
BH-1,2024,일평균공급량,"1,155.90","1,498.80","1,518.70","1,577.00","1,615.70","1,648.40","1,568.60","1,635.10","1,653.00","1,632.50","1,667.30","1,598.10"
BH-1,2024,유수율,87.20%,67.10%,64.00%,65.50%,67.70%,71.90%,77.50%,77.10%,74.60%,68.10%,66.60%,69.20%
CW-1,2022,수용가수,"1,301","1,305","1,307","1,308","1,314","1,319","1,322","1,323","1,323","1,326","1,336","1,336"
CW-1,2022,일평균공급량,712.9,772.4,768.9,802.6,829.4,877.4,877.5,896.1,903,803.9,818.9,812.4
CW-1,2022,유수율,84.40%,73.30%,72.60%,68.90%,73.10%,72.00%,71.90%,74.50%,78.80%,74.80%,70.70%,72.30%
CW-1,2023,수용가수,"1,340","1,341","1,341","1,341","1,343","1,347","1,348","1,346","1,349","1,352","1,347","1,355"
CW-1,2023,일평균공급량,855.6,769.5,736.6,743.2,790,809.2,877,810.9,818.7,795.3,784,794.3
CW-1,2023,유수율,73.60%,82.30%,77.40%,80.60%,81.10%,84.80%,75.10%,81.80%,78.80%,83.90%,74.70%,78.00%
CW-1,2024,수용가수,"1,362","1,362","1,362","1,362","1,361","1,363","1,365","1,367","1,371","1,375","1,375","1,387"
CW-1,2024,일평균공급량,750,807.9,759.4,804.3,830.2,889.1,856.3,908.7,933,822.4,873.7,830.4
CW-1,2024,유수율,77.70%,76.20%,72.30%,72.40%,72.60%,77.20%,80.60%,76.90%,84.50%,78.40%,72.30%,79.20%
KG-1,2022,수용가수,986,986,983,983,983,982,982,982,982,981,981,981
KG-1,2022,일평균공급량,"1,248.20","1,186.80","1,170.00","1,220.40","1,252.90","1,262.70","1,270.00","1,277.80","1,256.60","1,232.50","1,231.50","1,199.00"
KG-1,2022,유수율,81.80%,83.70%,84.10%,81.50%,83.80%,87.10%,88.90%,87.00%,88.30%,87.90%,86.20%,83.30%
KG-1,2023,수용가수,981,981,981,979,979,979,979,978,978,978,976,977
KG-1,2023,일평균공급량,"1,281.90","1,234.90","1,168.00","1,178.50","1,212.30","1,210.30","1,252.60","1,256.70","1,296.80","1,272.90","1,267.40","1,251.30"
KG-1,2023,유수율,79.70%,83.70%,83.60%,81.30%,86.60%,85.60%,87.00%,88.70%,82.60%,89.50%,84.40%,82.00%
KG-1,2024,수용가수,979,978,978,976,976,976,976,973,974,973,973,974
KG-1,2024,일평균공급량,"1,172.60","1,272.20","1,241.00","1,257.80","1,245.40","1,200.60","1,314.20","1,361.80","1,425.30","1,424.40","1,413.80","1,343.80"
KG-1,2024,유수율,83.10%,78.40%,78.10%,80.40%,78.90%,88.30%,80.30%,82.00%,78.20%,71.10%,75.70%,75.90%
KG-2,2022,수용가수,"1,751","1,576","1,575","1,577","1,573","1,575","1,570","1,568","1,569","1,568","1,569","1,568"
KG-2,2022,일평균공급량,"1,204.80","1,158.00","1,130.30","1,186.50","1,217.40","1,217.20","1,236.80","1,523.90","1,660.90","1,583.30","1,616.20","1,618.40"
KG-2,2022,유수율,81.70%,84.60%,87.20%,86.50%,84.70%,87.20%,92.10%,71.30%,64.60%,66.50%,63.80%,62.20%
KG-2,2023,수용가수,"1,563","1,560","1,559","1,562","1,561","1,558","1,564","1,557","1,558","1,558","1,558","1,557"
KG-2,2023,일평균공급량,"1,633.40","1,530.40","1,460.20","1,439.70","1,512.20","1,479.50","1,530.70","1,562.00","1,577.20","1,479.00","1,317.80","1,219.00"
KG-2,2023,유수율,65.10%,62.10%,64.30%,66.20%,65.90%,71.20%,72.40%,71.00%,67.20%,71.70%,79.70%,82.80%
KG-2,2024,수용가수,"1,556","1,548","1,547","1,548","1,548","1,558","1,557","1,559","1,561","1,560","1,560","1,562"
KG-2,2024,일평균공급량,"1,128.70","1,210.20","1,203.40","1,212.70","1,237.20","1,216.00","1,321.20","1,396.60","1,470.70","1,341.50","1,396.40","1,287.60"
KG-2,2024,유수율,80.60%,80.10%,78.00%,77.40%,80.90%,90.40%,83.00%,78.30%,78.30%,76.50%,75.40%,77.70%
KG-3,2022,수용가수,676,679,679,679,679,679,680,680,681,683,686,688
KG-3,2022,일평균공급량,446.7,432.8,473.4,501.4,534.4,497,457.7,491.8,543,540.6,554.5,498.9
KG-3,2022,유수율,80.00%,76.50%,85.70%,80.60%,83.70%,91.20%,83.20%,79.30%,81.50%,89.30%,74.90%,98.90%
KG-3,2023,수용가수,687,686,687,681,679,687,688,686,684,686,681,688
KG-3,2023,일평균공급량,501.8,436,477.8,479.8,508.2,485,421.3,451.4,486.2,454.7,458.1,401.7
KG-3,2023,유수율,72.80%,94.20%,80.30%,82.60%,87.30%,84.70%,91.20%,87.10%,86.40%,100.00%,93.90%,99.20%
KG-3,2024,수용가수,689,689,687,687,687,687,687,688,688,688,688,686
KG-3,2024,일평균공급량,356.5,384.9,437.1,434.5,480,435.8,425.8,480.5,514,463,478,403.1
KG-3,2024,유수율,79.50%,80.70%,68.40%,90.10%,77.30%,102.20%,91.30%,80.80%,87.70%,85.70%,86.30%,98.80%
KN-1,2022,수용가수,11,11,11,11,11,11,11,11,11,11,11,11
KN-1,2022,일평균공급량,455,495.3,550.4,553.9,554,595.9,576.8,632.8,629.9,611.8,597,598.4
KN-1,2022,유수율,92.40%,83.80%,87.10%,98.50%,90.20%,86.10%,96.40%,86.70%,92.30%,98.90%,91.70%,89.50%
KN-1,2023,수용가수,11,11,11,11,11,11,11,11,11,11,11,11
KN-1,2023,일평균공급량,525.7,658,670.3,707.9,768.2,943.4,913,815.6,760.9,692.1,671.1,613.9
KN-1,2023,유수율,102.80%,77.00%,88.00%,91.00%,87.80%,70.70%,76.00%,80.10%,92.80%,89.20%,93.50%,96.20%
KN-1,2024,수용가수,11,11,11,11,11,11,11,11,11,11,11,11
KN-1,2024,일평균공급량,643.4,637.9,400.3,171.8,158.8,454.1,760.9,752.2,757.3,799.6,740.7,669.4
KN-1,2024,유수율,85.70%,93.60%,144.60%,433.00%,456.40%,154.50%,94.20%,95.00%,111.40%,84.50%,105.70%,104.40%
KS-1,2022,수용가수,"1,439","1,251","1,443","1,446","1,457","1,473","1,499","1,260","1,261","1,263","1,269","1,272"
KS-1,2022,일평균공급량,673.5,666.4,590.9,606,632.1,637.8,625.9,567.5,623.6,563.2,596.3,599.6
KS-1,2022,유수율,74.40%,81.80%,91.40%,83.30%,90.00%,91.60%,103.30%,100.50%,91.80%,97.00%,88.90%,88.00%
KS-1,2023,수용가수,"1,275","1,276","1,278","1,278","1,278","1,279","1,280","1,281","1,284","1,287","1,288","1,289"
KS-1,2023,일평균공급량,674.9,618.3,576.5,583.3,616.6,638.5,594.2,693.9,714.7,559.8,609.8,617.1
KS-1,2023,유수율,79.20%,91.00%,88.80%,86.70%,86.40%,91.60%,102.90%,89.10%,80.80%,101.70%,82.40%,91.30%
KS-1,2024,수용가수,"1,290","1,290","1,289","1,290","1,290","1,295","1,294","1,297","1,298","1,301","1,301","1,303"
KS-1,2024,일평균공급량,579.6,643.8,599.4,613.5,649.8,664.9,633.1,704.5,741.2,687.6,691.1,617.6
KS-1,2024,유수율,85.60%,86.60%,79.00%,84.10%,82.50%,91.70%,90.90%,92.20%,88.90%,79.30%,78.30%,95.50%
MG-1,2022,수용가수,21,21,21,21,21,21,21,21,21,21,21,21
MG-1,2022,일평균공급량,"1,389.40","1,374.90","1,362.30","1,394.10","1,344.40","1,444.10","1,475.00",719.6,"1,401.70","1,382.60","1,361.00","1,320.70"
MG-1,2022,유수율,92.20%,96.70%,105.00%,98.70%,105.30%,93.40%,100.50%,194.70%,96.90%,103.20%,95.80%,103.10%
MG-1,2023,수용가수,21,21,21,21,23,189,189,189,190,192,194,195
MG-1,2023,일평균공급량,"1,355.50","1,322.10","1,557.30","1,634.80","1,649.60","1,682.60","1,710.70","1,706.00","1,781.80","1,621.30","1,667.20","1,711.60"
MG-1,2023,유수율,99.10%,90.20%,87.70%,84.10%,83.20%,96.20%,100.10%,97.40%,91.90%,106.80%,94.60%,96.50%
MG-1,2024,수용가수,193,193,193,193,193,193,193,193,194,195,195,195
MG-1,2024,일평균공급량,"1,546.50","1,657.00","1,640.50","1,664.50","1,669.40","1,650.00","1,702.00","1,797.80","1,781.10","1,214.50","1,705.80","1,705.00"
MG-1,2024,유수율,105.50%,91.30%,102.00%,95.90%,99.80%,100.30%,102.60%,93.90%,95.40%,140.60%,95.20%,99.40%
MS-1,2022,수용가수,"1,348","1,665","1,345","1,346","1,350","1,350","1,355","1,687","1,695","1,698","1,710","1,714"
MS-1,2022,일평균공급량,"1,923.20","1,880.20","1,894.80","1,884.80","1,896.80","1,928.60","2,025.40","1,993.50","2,048.80","1,994.00","2,038.40","2,177.60"
MS-1,2022,유수율,64.20%,76.80%,67.50%,64.60%,71.60%,69.30%,74.90%,83.70%,83.40%,83.10%,77.80%,75.80%
MS-1,2023,수용가수,"1,738","1,722","1,723","1,723","1,725","1,728","1,728","1,726","1,729","1,733","1,733","1,733"
MS-1,2023,일평균공급량,"2,234.40","2,110.40","2,097.60","1,997.30","2,049.80","2,163.50","2,152.20","2,109.60","2,155.10","2,070.10","2,098.00","2,126.10"
MS-1,2023,유수율,81.60%,77.80%,77.20%,85.40%,80.30%,81.30%,89.70%,86.30%,84.10%,83.40%,78.40%,79.90%
MS-1,2024,수용가수,"1,732","1,731","1,730","1,731","1,730","1,727","1,730","1,730","1,732","1,736","1,733","1,736"
MS-1,2024,일평균공급량,"2,040.20","2,126.10","2,195.10","2,294.20","2,363.30","2,242.70",709.4,485.2,"2,592.40","2,458.40","2,369.00","2,480.90"
MS-1,2024,유수율,78.50%,73.30%,73.70%,75.30%,73.90%,87.70%,276.50%,411.00%,78.30%,79.30%,81.00%,81.20%
MS-2,2022,수용가수,1,1,1,1,1,1,1,1,1,1,1,1
MS-2,2022,일평균공급량,"4,248.30","5,078.90","4,889.10","4,386.30","4,522.20","4,422.00","4,234.80","4,423.20","4,120.90","4,151.30","3,759.40","3,642.10"
MS-2,2022,유수율,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
MS-2,2023,수용가수,1,1,1,1,1,1,1,1,1,1,1,1
MS-2,2023,일평균공급량,"4,205.00","4,003.60","4,100.10","3,882.80","4,365.40","3,959.80","4,290.30","4,250.60","3,482.60","4,178.40","3,607.90","3,482.70"
MS-2,2023,유수율,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
MS-2,2024,수용가수,1,1,1,1,1,1,1,1,1,1,1,1
MS-2,2024,일평균공급량,"4,205.00","4,213.90","4,408.00","4,394.90","4,114.20","3,782.60","4,139.70","3,900.80","3,576.90","3,556.10","3,197.40","3,321.00"
MS-2,2024,유수율,108.70%,100.00%,92.70%,107.10%,115.30%,99.70%,100.40%,100.30%,100.00%,100.70%,99.70%,99.70%
MS-3,2022,수용가수,"1,731","1,734","1,735","1,735","1,737","1,740","1,742","1,742","1,744","1,746","1,746","1,746"
MS-3,2022,일평균공급량,"1,152.10","1,114.00","1,033.10","1,052.20","1,121.70","1,095.60","1,182.90","1,214.70","1,207.70","1,031.10","1,016.90","1,046.40"
MS-3,2022,유수율,56.50%,61.40%,62.90%,61.30%,64.30%,65.40%,66.20%,67.90%,68.40%,67.90%,61.40%,62.60%
MS-3,2023,수용가수,"1,750","1,749","1,749","1,749","1,749","1,751","1,754","1,750","1,751","1,752","1,752","1,752"
MS-3,2023,일평균공급량,"1,192.00","1,074.30","1,082.30",995.7,"1,041.30","1,092.30","1,078.00","1,113.90","1,065.20",956.4,998.3,"1,016.10"
MS-3,2023,유수율,59.70%,66.80%,57.10%,66.10%,64.70%,64.00%,72.20%,72.30%,72.70%,78.80%,61.70%,64.50%
MS-3,2024,수용가수,"1,755","1,755","1,755","1,763","1,762","1,766","1,767","1,766","1,772","1,776","1,776","1,776"
MS-3,2024,일평균공급량,960.8,"1,049.00",967.4,989.1,"1,043.60","1,056.80","1,101.90","1,204.50","1,210.60","1,046.90","1,005.10","1,004.20"
MS-3,2024,유수율,73.50%,66.40%,62.40%,66.50%,66.40%,78.80%,72.10%,77.20%,78.30%,80.70%,68.90%,77.10%
ND-1,2022,수용가수,119,120,120,120,121,121,121,121,121,121,122,122
ND-1,2022,일평균공급량,"1,218.00","1,216.40","1,181.60","1,174.90","1,185.40","1,205.90","1,215.20","1,196.40","1,177.80","1,153.60","1,149.40","1,204.50"
ND-1,2022,유수율,83.10%,81.60%,89.20%,87.00%,87.50%,89.00%,90.80%,92.40%,92.00%,90.50%,89.30%,82.90%
ND-1,2023,수용가수,123,123,124,124,124,125,125,125,125,125,125,125
ND-1,2023,일평균공급량,"1,268.70","1,264.80","1,208.30","1,203.50","1,200.70","1,213.60","1,196.60","1,165.00","1,169.70","1,150.00","1,189.50","1,214.60"
ND-1,2023,유수율,81.60%,75.20%,83.90%,82.40%,85.70%,84.40%,93.90%,94.50%,90.10%,91.00%,85.40%,82.70%
ND-1,2024,수용가수,125,125,125,125,125,125,125,126,128,128,128,128
ND-1,2024,일평균공급량,"1,207.40","1,335.30","1,288.20","1,268.00","1,256.50","1,182.70","1,226.10","1,199.40","1,220.60","1,182.60","1,222.50","1,261.60"
ND-1,2024,유수율,81.90%,72.40%,79.50%,78.80%,81.80%,89.70%,90.90%,92.10%,91.50%,89.20%,83.10%,80.60%
ND-2,2022,수용가수,695,697,697,698,697,697,697,698,698,698,700,700
ND-2,2022,일평균공급량,"3,165.30","3,055.60","3,109.50","3,118.90","2,441.10","2,490.00","2,571.20","2,519.60","2,498.80","2,448.20","2,477.60","2,397.80"
ND-2,2022,유수율,61.90%,58.40%,64.60%,67.30%,85.10%,82.90%,86.30%,85.40%,84.40%,87.40%,86.20%,82.80%
ND-2,2023,수용가수,705,705,707,707,707,710,710,710,710,710,709,709
ND-2,2023,일평균공급량,"2,387.70","2,382.10","2,425.20","2,450.90","2,463.30","2,537.00","2,543.60","2,539.60","2,567.80","2,426.40","2,467.60","2,404.10"
ND-2,2023,유수율,81.90%,76.10%,82.60%,79.70%,83.60%,81.20%,84.30%,82.80%,81.50%,86.90%,81.00%,83.20%
ND-2,2024,수용가수,712,711,712,718,716,718,717,717,717,719,719,719
ND-2,2024,일평균공급량,"2,287.80","2,438.20","2,530.10","2,522.70","2,520.20","2,379.70","2,632.50","2,597.80","2,525.40","2,481.40","2,605.20","2,728.90"
ND-2,2024,유수율,82.90%,76.80%,75.90%,77.30%,78.60%,86.50%,81.30%,82.10%,84.60%,79.60%,77.90%,71.90%
NS-1,2022,수용가수,"1,261","1,263","1,263","1,261","1,261","1,259","1,258","1,256","1,253","1,252","1,254","1,253"
NS-1,2022,일평균공급량,"1,078.60","1,012.30",999.1,"1,023.90","1,020.10","1,019.60","1,035.70","1,026.10","1,213.20","1,140.70","1,169.70","1,201.50"
NS-1,2022,유수율,92.50%,92.30%,91.10%,90.40%,91.40%,94.90%,101.40%,97.70%,83.80%,86.30%,79.80%,76.40%
NS-1,2023,수용가수,"1,251","1,251","1,251","1,251","1,252","1,253","1,253","1,251","1,249","1,250","1,249","1,246"
NS-1,2023,일평균공급량,"1,225.90","1,197.60","1,146.70","1,150.40","1,199.90","1,229.40","1,233.70","1,237.10","1,303.40","1,222.00","1,203.30","1,230.30"
NS-1,2023,유수율,80.80%,85.40%,79.80%,78.90%,80.40%,81.80%,79.70%,84.00%,80.30%,87.60%,82.40%,78.60%
NS-1,2024,수용가수,"1,246","1,246","1,247","1,249","1,249","1,249","1,246","1,245","1,248","1,249","1,249","1,251"
NS-1,2024,일평균공급량,"1,166.60","1,223.60","1,144.30","1,176.40","1,182.60","1,148.30","1,251.70","1,285.00","1,310.20","1,216.00","1,243.70","1,215.90"
NS-1,2024,유수율,81.00%,79.10%,76.50%,80.90%,79.50%,90.60%,81.70%,82.70%,78.90%,83.10%,79.40%,82.20%
NS-2,2022,수용가수,891,891,891,891,889,889,890,891,891,891,892,892
NS-2,2022,일평균공급량,"1,943.80","1,916.30","1,844.70","1,859.90","1,939.50","1,879.70","1,909.90","1,914.10","1,783.70","1,717.20","1,706.80","1,737.20"
NS-2,2022,유수율,74.60%,74.70%,78.90%,74.10%,72.60%,80.50%,81.10%,80.70%,88.10%,86.80%,86.70%,83.50%
NS-2,2023,수용가수,892,893,893,894,894,894,894,893,891,894,895,895
NS-2,2023,일평균공급량,"1,768.80","1,729.90","1,685.10","1,693.00","1,731.30","1,746.80","1,780.30","1,809.30","1,855.30","1,821.00","1,803.10","1,806.60"
NS-2,2023,유수율,82.10%,83.60%,83.40%,84.00%,81.90%,84.80%,90.10%,83.50%,83.40%,83.30%,80.20%,82.70%
NS-2,2024,수용가수,895,895,896,896,895,895,895,896,891,891,891,894
NS-2,2024,일평균공급량,"1,683.20","1,837.70","1,812.90","1,830.80","1,834.70","1,771.50","1,925.80","1,929.00","1,961.80","1,901.20","1,893.00","1,897.50"
NS-2,2024,유수율,82.00%,80.70%,73.00%,74.50%,78.50%,83.80%,79.50%,80.20%,82.60%,77.30%,75.50%,76.80%
NS-3,2022,수용가수,"1,064","1,089","1,089","1,089","1,089","1,089","1,090","1,089","1,091","1,092","1,093","1,092"
NS-3,2022,일평균공급량,"2,054.70","1,958.70","1,964.30","2,065.00","2,113.10","2,175.70","2,208.20","2,176.40","2,161.10","2,099.00","2,002.50","2,010.30"
