소블록명,날짜,야간최소유량
NS-1,2022-01-01,25.6
NS-1,2022-01-02,24.1
NS-1,2022-01-03,22.4
NS-1,2022-01-04,20.9
NS-1,2022-01-05,22.1
NS-1,2022-01-06,19
NS-1,2022-01-07,20.1
NS-1,2022-01-08,21.4
NS-1,2022-01-09,20.3
NS-1,2022-01-10,18.7
NS-1,2022-01-11,20.3
NS-1,2022-01-12,24.3
NS-1,2022-01-13,21.4
NS-1,2022-01-14,23.4
NS-1,2022-01-15,22.2
NS-1,2022-01-16,21.6
NS-1,2022-01-17,21.2
NS-1,2022-01-18,21.4
NS-1,2022-01-19,20.2
NS-1,2022-01-20,19.7
NS-1,2022-01-21,19.1
NS-1,2022-01-22,18.2
NS-1,2022-01-23,17.6
NS-1,2022-01-24,17.9
NS-1,2022-01-25,16.8
NS-1,2022-01-26,18.1
NS-1,2022-01-27,17
NS-1,2022-01-28,15.9
NS-1,2022-01-29,17.5
NS-1,2022-01-30,19.1
NS-1,2022-01-31,18.8
NS-1,2022-02-01,19.7
NS-1,2022-02-02,19.3
NS-1,2022-02-03,17.1
NS-1,2022-02-04,16.9
NS-1,2022-02-05,17.9
NS-1,2022-02-06,17.3
NS-1,2022-02-07,17.8
NS-1,2022-02-08,17.4
NS-1,2022-02-09,17.2
NS-1,2022-02-10,17.1
NS-1,2022-02-11,16
NS-1,2022-02-12,15.9
NS-1,2022-02-13,15.9
NS-1,2022-02-14,16.7
NS-1,2022-02-15,16.9
NS-1,2022-02-16,17.5
NS-1,2022-02-17,19.1
NS-1,2022-02-18,18.2
NS-1,2022-02-19,18.2
NS-1,2022-02-20,17.9
NS-1,2022-02-21,19.4
NS-1,2022-02-22,17
NS-1,2022-02-23,20.2
NS-1,2022-02-24,17.7
NS-1,2022-02-25,17.4
NS-1,2022-02-26,17.2
NS-1,2022-02-27,15.6
NS-1,2022-02-28,15.7
NS-1,2022-03-01,14
NS-1,2022-03-02,16.2
NS-1,2022-03-03,14.9
NS-1,2022-03-04,16.7
NS-1,2022-03-05,15.2
NS-1,2022-03-06,15.6
NS-1,2022-03-07,16.4
NS-1,2022-03-08,17
NS-1,2022-03-09,14.3
NS-1,2022-03-10,15.5
NS-1,2022-03-11,15.5
NS-1,2022-03-12,15.6
NS-1,2022-03-13,14.9
NS-1,2022-03-14,15.2
NS-1,2022-03-15,15.2
NS-1,2022-03-16,14.7
NS-1,2022-03-17,17.6
NS-1,2022-03-18,14.3
NS-1,2022-03-19,14.4
NS-1,2022-03-20,15.6
NS-1,2022-03-21,15.1
NS-1,2022-03-22,14.9
NS-1,2022-03-23,15.5
NS-1,2022-03-24,14.2
NS-1,2022-03-25,15.5
NS-1,2022-03-26,14.3
NS-1,2022-03-27,15.2
NS-1,2022-03-28,15.3
NS-1,2022-03-29,15.6
NS-1,2022-03-30,16.4
NS-1,2022-03-31,13.9
NS-1,2022-04-01,20.6
NS-1,2022-04-02,14.5
NS-1,2022-04-03,15.5
NS-1,2022-04-04,13.9
NS-1,2022-04-05,23.1
NS-1,2022-04-06,13.9
NS-1,2022-04-07,13.8
NS-1,2022-04-08,13.1
NS-1,2022-04-09,14.8
NS-1,2022-04-10,14.6
NS-1,2022-04-11,14.3
NS-1,2022-04-12,16
NS-1,2022-04-13,16.3
NS-1,2022-04-14,15
NS-1,2022-04-15,16
NS-1,2022-04-16,16
NS-1,2022-04-17,14.5
NS-1,2022-04-18,13.3
NS-1,2022-04-19,14.1
NS-1,2022-04-20,13.7
NS-1,2022-04-21,14.5
NS-1,2022-04-22,15.9
NS-1,2022-04-23,24.6
NS-1,2022-04-24,14.2
NS-1,2022-04-25,15.9
NS-1,2022-04-26,13.7
NS-1,2022-04-27,13.1
NS-1,2022-04-28,19.7
NS-1,2022-04-29,13.4
NS-1,2022-04-30,13.3
NS-1,2022-05-01,14.6
NS-1,2022-05-02,13.1
NS-1,2022-05-03,12.7
NS-1,2022-05-04,12.5
NS-1,2022-05-05,12.8
NS-1,2022-05-06,12.9
NS-1,2022-05-07,12.7
NS-1,2022-05-08,13.8
NS-1,2022-05-09,14.7
NS-1,2022-05-10,16.1
NS-1,2022-05-11,13
NS-1,2022-05-12,13.4
NS-1,2022-05-13,13.5
NS-1,2022-05-14,12.6
NS-1,2022-05-15,13.5
NS-1,2022-05-16,13.3
NS-1,2022-05-17,13.3
NS-1,2022-05-18,12.4
NS-1,2022-05-19,
NS-1,2022-05-20,
NS-1,2022-05-21,13.1
NS-1,2022-05-22,14.4
NS-1,2022-05-23,14.4
NS-1,2022-05-24,19.2
NS-1,2022-05-25,15.1
NS-1,2022-05-26,15.2
NS-1,2022-05-27,14.7
NS-1,2022-05-28,14.7
NS-1,2022-05-29,14.8
NS-1,2022-05-30,15.4
NS-1,2022-05-31,16.4
NS-1,2022-06-01,14.5
NS-1,2022-06-02,15.1
NS-1,2022-06-03,15
NS-1,2022-06-04,15.8
NS-1,2022-06-05,12.5
NS-1,2022-06-06,12.3
NS-1,2022-06-07,12.6
NS-1,2022-06-08,14.4
NS-1,2022-06-09,12.5
NS-1,2022-06-10,13.1
NS-1,2022-06-11,13.3
NS-1,2022-06-12,14.7
NS-1,2022-06-13,13
NS-1,2022-06-14,12.5
NS-1,2022-06-15,14.1
NS-1,2022-06-16,15.7
NS-1,2022-06-17,13.4
NS-1,2022-06-18,12.8
NS-1,2022-06-19,14.6
NS-1,2022-06-20,14.4
NS-1,2022-06-21,14.6
NS-1,2022-06-22,14.3
NS-1,2022-06-23,15.5
NS-1,2022-06-24,12.8
NS-1,2022-06-25,13.7
NS-1,2022-06-26,14.4
NS-1,2022-06-27,15.1
NS-1,2022-06-28,13.4
NS-1,2022-06-29,14.9
NS-1,2022-06-30,13.9
NS-1,2022-07-01,14.4
NS-1,2022-07-02,14.5
NS-1,2022-07-03,12.7
NS-1,2022-07-04,12.8
NS-1,2022-07-05,13.2
NS-1,2022-07-06,13.3
NS-1,2022-07-07,12.8
NS-1,2022-07-08,13.7
NS-1,2022-07-09,12.8
NS-1,2022-07-10,14.4
NS-1,2022-07-11,13.1
NS-1,2022-07-12,11.7
NS-1,2022-07-13,14.2
NS-1,2022-07-14,14.3
NS-1,2022-07-15,13.7
NS-1,2022-07-16,13.9
NS-1,2022-07-17,15.1
NS-1,2022-07-18,14
NS-1,2022-07-19,14.3
NS-1,2022-07-20,13.7
NS-1,2022-07-21,16.9
NS-1,2022-07-22,14.4
NS-1,2022-07-23,14.3
NS-1,2022-07-24,14.8
NS-1,2022-07-25,15
NS-1,2022-07-26,14.5
NS-1,2022-07-27,14.5
NS-1,2022-07-28,14.2
NS-1,2022-07-29,15.7
NS-1,2022-07-30,14.4
NS-1,2022-07-31,14.8
NS-1,2022-08-01,15.3
NS-1,2022-08-02,14.3
NS-1,2022-08-03,15.8
NS-1,2022-08-04,15.5
NS-1,2022-08-05,14
NS-1,2022-08-06,13.5
NS-1,2022-08-07,15.3
NS-1,2022-08-08,14
NS-1,2022-08-09,13.6
NS-1,2022-08-10,12.4
NS-1,2022-08-11,14.4
NS-1,2022-08-12,13.5
NS-1,2022-08-13,12.3
NS-1,2022-08-14,15.4
NS-1,2022-08-15,14.9
NS-1,2022-08-16,12.9
NS-1,2022-08-17,14.5
NS-1,2022-08-18,11.4
NS-1,2022-08-19,12.5
NS-1,2022-08-20,8.2
NS-1,2022-08-21,9.6
NS-1,2022-08-22,9.4
NS-1,2022-08-23,14.9
NS-1,2022-08-24,20.2
NS-1,2022-08-25,15.3
NS-1,2022-08-26,14.4
NS-1,2022-08-27,14.4
NS-1,2022-08-28,16.8
NS-1,2022-08-29,14.9
NS-1,2022-08-30,15.2
NS-1,2022-08-31,16.2
NS-1,2022-09-01,16.9
NS-1,2022-09-02,20.8
NS-1,2022-09-03,17.8
NS-1,2022-09-04,17.8
NS-1,2022-09-05,15.9
NS-1,2022-09-06,17
NS-1,2022-09-07,18
NS-1,2022-09-08,17.4
NS-1,2022-09-09,17.6
NS-1,2022-09-10,17.9
NS-1,2022-09-11,17.3
NS-1,2022-09-12,17.8
NS-1,2022-09-13,15.4
NS-1,2022-09-14,15.4
NS-1,2022-09-15,15.2
NS-1,2022-09-16,15.5
NS-1,2022-09-17,28.1
NS-1,2022-09-18,17.9
NS-1,2022-09-19,16
NS-1,2022-09-20,15.9
NS-1,2022-09-21,17.7
NS-1,2022-09-22,17.1
NS-1,2022-09-23,25
NS-1,2022-09-24,15.6
NS-1,2022-09-25,16.7
NS-1,2022-09-26,16.7
NS-1,2022-09-27,13.8
NS-1,2022-09-28,15.6
NS-1,2022-09-29,15.5
NS-1,2022-09-30,17.3
NS-1,2022-10-01,18.8
NS-1,2022-10-02,17.9
NS-1,2022-10-03,17.3
NS-1,2022-10-04,17.5
NS-1,2022-10-05,16.6
NS-1,2022-10-06,16.3
NS-1,2022-10-07,16
NS-1,2022-10-08,16
NS-1,2022-10-09,15.9
NS-1,2022-10-10,15
NS-1,2022-10-11,16.3
NS-1,2022-10-12,16.9
NS-1,2022-10-13,16.2
NS-1,2022-10-14,16.6
NS-1,2022-10-15,16.6
NS-1,2022-10-16,19
NS-1,2022-10-17,16
NS-1,2022-10-18,15.6
NS-1,2022-10-19,16.1
NS-1,2022-10-20,18.2
NS-1,2022-10-21,15.8
NS-1,2022-10-22,16.6
NS-1,2022-10-23,16.5
NS-1,2022-10-24,15.6
NS-1,2022-10-25,16.2
NS-1,2022-10-26,20
NS-1,2022-10-27,15
NS-1,2022-10-28,16
NS-1,2022-10-29,15.5
NS-1,2022-10-30,19
NS-1,2022-10-31,15.7
NS-1,2022-11-01,15.8
NS-1,2022-11-02,16.6
NS-1,2022-11-03,17.4
NS-1,2022-11-04,16.2
NS-1,2022-11-05,15.6
NS-1,2022-11-06,15.7
NS-1,2022-11-07,18.1
NS-1,2022-11-08,16.4
NS-1,2022-11-09,14.8
NS-1,2022-11-10,15.7
NS-1,2022-11-11,16.1
NS-1,2022-11-12,16.1
NS-1,2022-11-13,17
NS-1,2022-11-14,15.9
NS-1,2022-11-15,15.3
NS-1,2022-11-16,16.2
NS-1,2022-11-17,15.9
NS-1,2022-11-18,16.5
NS-1,2022-11-19,17
NS-1,2022-11-20,16.7
NS-1,2022-11-21,15.2
NS-1,2022-11-22,16.8
NS-1,2022-11-23,16
NS-1,2022-11-24,14.6
NS-1,2022-11-25,19.9
NS-1,2022-11-26,15.7
NS-1,2022-11-27,17.5
NS-1,2022-11-28,15.9
NS-1,2022-11-29,15.5
NS-1,2022-11-30,15.7
NS-1,2022-12-01,17.9
NS-1,2022-12-02,17
NS-1,2022-12-03,19
NS-1,2022-12-04,17.1
NS-1,2022-12-05,17.9
NS-1,2022-12-06,18.6
NS-1,2022-12-07,17.2
NS-1,2022-12-08,16.5
NS-1,2022-12-09,16.2
NS-1,2022-12-10,17.1
NS-1,2022-12-11,17.4
NS-1,2022-12-12,15.5
NS-1,2022-12-13,17.6
NS-1,2022-12-14,18
NS-1,2022-12-15,18.6
NS-1,2022-12-16,19.6
NS-1,2022-12-17,20.5
NS-1,2022-12-18,21.8
NS-1,2022-12-19,23.2
NS-1,2022-12-20,23.6
NS-1,2022-12-21,22.9
NS-1,2022-12-22,25.7
NS-1,2022-12-23,25.7
NS-1,2022-12-24,26.5
NS-1,2022-12-25,25.9
NS-1,2022-12-26,25.6
NS-1,2022-12-27,22.8
NS-1,2022-12-28,23.2
NS-1,2022-12-29,26
NS-1,2022-12-30,21.2
NS-1,2022-12-31,21.2
NS-2,2022-01-01,35.7
NS-2,2022-01-02,36.3
NS-2,2022-01-03,36.6
NS-2,2022-01-04,34
NS-2,2022-01-05,33.8
NS-2,2022-01-06,34.8
NS-2,2022-01-07,34.4
NS-2,2022-01-08,37.7
NS-2,2022-01-09,34.3
NS-2,2022-01-10,33
NS-2,2022-01-11,34
NS-2,2022-01-12,35.6
NS-2,2022-01-13,33.3
NS-2,2022-01-14,34.2
NS-2,2022-01-15,35.4
NS-2,2022-01-16,36.7
NS-2,2022-01-17,36
NS-2,2022-01-18,35.2
NS-2,2022-01-19,36
NS-2,2022-01-20,34.2
NS-2,2022-01-21,32.6
NS-2,2022-01-22,33.9
NS-2,2022-01-23,34
NS-2,2022-01-24,35.1
NS-2,2022-01-25,34.4
NS-2,2022-01-26,34.2
NS-2,2022-01-27,32.7
NS-2,2022-01-28,31.9
NS-2,2022-01-29,33.5
NS-2,2022-01-30,33.4
NS-2,2022-01-31,35
NS-2,2022-02-01,33.9
NS-2,2022-02-02,33.3
NS-2,2022-02-03,32.3
NS-2,2022-02-04,34.3
NS-2,2022-02-05,35.1
NS-2,2022-02-06,37.3
NS-2,2022-02-07,34.2
NS-2,2022-02-08,34.9
NS-2,2022-02-09,33.4
NS-2,2022-02-10,33.4
NS-2,2022-02-11,37.6
NS-2,2022-02-12,33.8
NS-2,2022-02-13,33.6
NS-2,2022-02-14,33.3
NS-2,2022-02-15,35.2
NS-2,2022-02-16,33.7
NS-2,2022-02-17,33.5
NS-2,2022-02-18,33.8
NS-2,2022-02-19,33.2
NS-2,2022-02-20,32.5
NS-2,2022-02-21,31.5
